book_freq,isNoble,popularity,has_title,has_culture,has_mother,has_father,has_heir,has_house,survival_prob,relevance_score,relevance_category
0.2,1,0.023411371,1,0,0,0,0,1,0.030000000000000027,0.31035284275,Medium
0.2,1,0.003344482,1,0,0,0,0,0,0.998,0.4005361205,Medium
0.0,0,0.003344482,0,0,0,0,0,1,0.7050000000000001,0.1565861205,Low
0.4,0,0.123745819,0,0,0,0,0,1,0.906,0.31683645475,Medium
0.0,1,0.006688963,1,0,0,0,0,1,0.718,0.35937224075,Medium
0.0,1,0.023411371,1,1,0,0,0,1,0.21299999999999997,0.33780284275,Medium
0.6,0,0.120401338,0,0,0,0,0,1,0.45499999999999996,0.2983503345,Medium
0.2,1,0.010033445,1,0,0,0,0,1,0.724,0.41110836125,Medium
0.0,0,1.0,0,0,1,1,1,0,0.03600000000000003,0.3054,Medium
0.2,0,0.016722408,0,0,0,0,0,0,0.987,0.20223060199999998,Low
0.6,0,0.147157191,0,0,0,0,0,1,0.768,0.35198929775,Medium
0.2,0,0.063545151,0,1,0,0,0,1,0.759,0.27973628775,Medium
0.2,0,0.026755853,0,0,0,0,0,1,0.767,0.22173896324999998,Low
0.4,0,0.013377926,0,1,0,0,0,0,0.998,0.3030444815,Medium
0.2,0,0.0,1,0,0,0,0,1,0.989,0.34835,Medium
0.2,0,0.100334448,0,1,0,0,0,1,0.18600000000000005,0.20298361200000004,Low
0.0,0,0.030100334,0,0,0,0,0,0,0.19799999999999995,0.03722508349999999,Low
0.2,0,0.013377926,0,1,0,0,0,0,0.982,0.2506444815,Medium
0.4,0,0.046822742,0,1,0,0,0,1,0.478,0.2834056855,Medium
0.2,0,0.0,0,0,0,0,0,1,0.993,0.24895,Low
0.0,1,0.02006689,1,0,0,0,0,1,0.759,0.3688667225,Medium
0.2,0,0.003344482,0,0,0,0,0,0,0.702,0.1561361205,Low
0.2,1,0.010033445,1,0,0,0,0,1,0.943,0.44395836124999993,Medium
0.4,0,0.043478261,0,0,0,0,0,1,0.762,0.27516956525,Medium
0.2,0,0.02006689,0,1,0,0,0,1,0.99,0.3035167225,Medium
0.2,0,0.040133779,0,0,0,0,0,1,0.394,0.16913344475000003,Low
0.2,0,0.033444816,0,1,0,0,0,1,0.19999999999999996,0.188361204,Low
0.2,0,0.013377926,0,0,0,0,0,1,0.739,0.21419448149999998,Low
